Price,price,returns,position,cash,equity
Ticker,AAPL,,,,
Date,,,,,
2020-04-06,63.41956329345703,0.08723768561289713,0.0,10000,[8637.29880079]
2020-04-07,62.68503189086914,-0.011582094931638753,0.0,10000,[8637.29880079]
2020-04-08,64.28941345214844,0.025594332696080135,0.0,10000,[8637.29880079]
2020-04-09,64.75334930419922,0.007216364672483655,0.0,10000,[8637.29880079]
2020-04-13,66.02427673339844,0.019627207593983176,0.0,10000,[8637.29880079]
2020-04-14,69.35872650146484,0.050503389556703304,0.0,10000,[8637.29880079]
2020-04-15,68.72566986083984,-0.009127281779195195,0.0,10000,[8637.29880079]
2020-04-16,69.27174377441406,0.00794570521727822,0.0,10000,[8637.29880079]
2020-04-17,68.33182525634766,-0.013568570196923035,0.0,10000,[8637.29880079]
2020-04-20,66.91345977783203,-0.020757026073789375,0.0,10000,[8637.29880079]
2020-04-21,64.84516143798828,-0.030910049289200936,0.0,10000,[8637.29880079]
2020-04-22,66.71292114257812,0.02880337812677025,0.0,10000,[8637.29880079]
2020-04-23,66.45437622070312,-0.003875484950245811,0.0,10000,[8637.29880079]
2020-04-24,68.37289428710938,0.028869702426136845,0.0,10000,[8637.29880079]
2020-04-27,68.42121887207031,0.0007067798645179479,0.0,10000,[8637.29880079]
2020-04-28,67.31212615966797,-0.016209777181491858,0.0,10000,[8637.29880079]
2020-04-29,69.52304077148438,0.03284571054213914,0.0,10000,[8637.29880079]
2020-04-30,70.98968505859375,0.021095801777860856,0.0,10000,[8637.29880079]
2020-05-01,69.84681701660156,-0.016099071872890836,0.0,10000,[8637.29880079]
2020-05-04,70.83504486083984,0.014148502200227675,0.0,10000,[8637.29880079]
2020-05-05,71.898193359375,0.015008792619864764,0.0,10000,[8637.29880079]
2020-05-06,72.6399917602539,0.01031734409752283,0.0,10000,[8637.29880079]
2020-05-07,73.3914566040039,0.010345056841831513,0.0,10000,[8637.29880079]
2020-05-08,75.1383056640625,0.023801803927724352,0.0,10000,[8637.29880079]
2020-05-11,76.32062530517578,0.015735244901573076,0.0,10000,[8637.29880079]
2020-05-12,75.44841003417969,-0.01142830352225832,0.0,10000,[8637.29880079]
2020-05-13,74.53744506835938,-0.012074011439175858,0.0,10000,[8637.29880079]
2020-05-14,74.99535369873047,0.006143336814820266,0.0,10000,[8637.29880079]
2020-05-15,74.55198669433594,-0.00591192630646975,0.0,10000,[8637.29880079]
2020-05-18,76.30850219726562,0.023560948283396055,0.0,10000,[8637.29880079]
2020-05-19,75.86756134033203,-0.0057783974817604555,0.0,10000,[8637.29880079]
2020-05-20,77.3430404663086,0.019448089538000923,0.0,10000,[8637.29880079]
2020-05-21,76.76642608642578,-0.0074552846178059795,0.0,10000,[8637.29880079]
2020-05-22,77.26067352294922,0.006438328078045563,0.0,10000,[8637.29880079]
2020-05-26,76.73735809326172,-0.006773373901950985,0.0,10000,[8637.29880079]
2020-05-27,77.07168579101562,0.004356778837076858,0.0,10000,[8637.29880079]
2020-05-28,77.10562133789062,0.00044031146492651274,0.0,10000,[8637.29880079]
2020-05-29,77.0304946899414,-0.0009743342527518406,0.0,10000,[8637.29880079]
2020-06-01,77.97781372070312,0.012297974127971179,0.0,10000,[8637.29880079]
2020-06-02,78.33879852294922,0.004629327048576215,0.0,10000,[8637.29880079]
2020-06-03,78.77008056640625,0.005505344115415367,0.0,10000,[8637.29880079]
2020-06-04,78.0916748046875,-0.008612480231587782,0.0,10000,[8637.29880079]
