date,price,volume,returns,signal,position,strategy_returns,equity
2023-08-07,176.53982543945312,97576100,-0.017253864211705605,1.0,1.0,-0.018253864211705606,12119.20923272053
2023-08-08,177.47755432128906,67823000,0.005311712977520422,1.0,1.0,0.005311712977520422,12183.582993679256
2023-08-09,175.88836669921875,60378500,-0.008954302013838844,1.0,1.0,-0.008954302013838844,12074.487511943182
2023-08-10,175.67120361328125,54686900,-0.0012346642931130303,1.0,1.0,-0.0012346642931130303,12059.579573354546
2023-08-11,175.73046875,52036700,0.0003373639816870444,1.0,1.0,0.0003373639816870444,12063.648041136885
2023-08-14,177.3811492919922,43675600,0.009393251800520197,1.0,1.0,0.009393251800520197,12176.964924820137
2023-08-15,175.39443969726562,43622600,-0.011200229577136067,1.0,1.0,-0.011200229577136067,12040.580122109419
2023-08-16,174.52464294433594,46964900,-0.004959089663452154,1.0,1.0,-0.004959089663452154,11980.869805683898
2023-08-17,171.98439025878906,66062900,-0.014555266480946627,1.0,1.0,-0.014555266480946627,11806.485052988643
2023-08-18,172.46871948242188,61172200,0.0028161231545724696,1.0,1.0,0.0028161231545724696,11839.733568920476
2023-08-21,173.80311584472656,46311900,0.00773703409122084,1.0,1.0,0.00773703409122084,11931.337991174187
2023-08-22,175.17698669433594,42038900,0.007904753852840951,1.0,1.0,0.007904753852840951,12025.652281129469
2023-08-23,179.0219268798828,52722800,0.02194888871022682,1.0,1.0,0.02194888871022682,12289.601984715866
2023-08-24,174.3368377685547,54945800,-0.0261704763934959,0.0,0.0,-0.001,12277.312382731148
2023-08-25,176.541015625,51449600,0.01264321347489128,0.0,0.0,0.0,12277.312382731148
2023-08-28,178.10272216796875,43820700,0.00884614001703743,0.0,0.0,0.0,12277.312382731148
2023-08-29,181.98716735839844,53003900,0.021810139357478553,0.0,0.0,0.0,12277.312382731148
2023-08-30,185.47628784179688,60813900,0.01917234349017094,0.0,0.0,0.0,12277.312382731148
2023-08-31,185.6937255859375,60794500,0.0011723209832952275,0.0,0.0,0.0,12277.312382731148
2023-09-01,187.2653350830078,45766500,0.008463449651361366,0.0,0.0,0.0,12277.312382731148
2023-09-05,187.50254821777344,45280000,0.0012667220799860157,0.0,0.0,0.0,12277.312382731148
2023-09-06,180.7911834716797,81755800,-0.035793458861683725,0.0,0.0,-0.0,12277.312382731148
2023-09-07,175.50315856933594,112488800,-0.029249351659740075,0.0,0.0,-0.0,12277.312382731148
2023-09-08,176.11599731445312,65551300,0.003491895816080559,0.0,0.0,0.0,12277.312382731148
2023-09-11,177.2823028564453,58953100,0.006622371390315962,0.0,0.0,0.0,12277.312382731148
2023-09-12,174.25775146484375,90370200,-0.01706065040259941,0.0,0.0,-0.0,12277.312382731148
2023-09-13,172.1919403076172,84267900,-0.011854916868035748,0.0,0.0,-0.0,12277.312382731148
2023-09-14,173.7042694091797,60895800,0.008782810036641386,0.0,0.0,0.0,12277.312382731148
2023-09-15,172.98268127441406,109259500,-0.004154118590291245,0.0,0.0,-0.0,12277.312382731148
2023-09-18,175.90841674804688,67257600,0.016913458920153612,0.0,0.0,0.0,12277.312382731148
2023-09-19,176.9956817626953,51826900,0.006180858396364952,0.0,0.0,0.0,12277.312382731148
2023-09-20,173.4571533203125,58436200,-0.01999217386064278,0.0,0.0,-0.0,12277.312382731148
2023-09-21,171.9152069091797,63149100,-0.008889494504071505,0.0,0.0,-0.0,12277.312382731148
2023-09-22,172.76524353027344,56725400,0.004944510938714286,1.0,1.0,0.003944510938714286,12325.740375722848
2023-09-25,174.04031372070312,46172700,0.007380362880721858,1.0,1.0,0.007380362880721858,12416.708812469245
2023-09-26,169.9680633544922,64588900,-0.02339831662649161,1.0,1.0,-0.02339831662649161,12126.178728216142
2023-09-27,168.4557342529297,66921800,-0.008897725088555797,0.0,0.0,-0.001,12114.052549487926
2023-09-28,168.71275329589844,56294400,0.001525736384745624,0.0,0.0,0.0,12114.052549487926
2023-09-29,169.2267608642578,51861100,0.003046643234242419,0.0,0.0,0.0,12114.052549487926
2023-10-02,171.73727416992188,52164500,0.014835202735327568,0.0,0.0,0.0,12114.052549487926
2023-10-03,170.40293884277344,49594600,-0.007769631453613313,0.0,0.0,-0.0,12114.052549487926
2023-10-04,171.64837646484375,53020300,0.007308780180249386,0.0,0.0,0.0,12114.052549487926
2023-10-05,172.8838653564453,48527900,0.007197789557040313,0.0,0.0,0.0,12114.052549487926
2023-10-06,175.4340057373047,57266700,0.01475059789762101,0.0,0.0,0.0,12114.052549487926
2023-10-09,176.91664123535156,42390800,0.008451243485068538,0.0,0.0,0.0,12114.052549487926
2023-10-10,176.3235626220703,43698000,-0.0033523054085810022,0.0,0.0,-0.0,12114.052549487926
2023-10-11,177.7172393798828,47551100,0.007904086879186423,0.0,0.0,0.0,12114.052549487926
2023-10-12,178.61671447753906,56743100,0.005061270931254747,0.0,0.0,0.0,12114.052549487926
